Ext_ID,Factors,Severity_Score,LID
EXT-L4339,Normal,11,L4339
EXT-L4340,Weather,14,L4340
EXT-L4341,Normal,2,L4341
EXT-L4342,Normal,16,L4342
EXT-L4343,Normal,17,L4343
EXT-L4344,Normal,12,L4344
EXT-L4345,Normal,18,L4345
EXT-L4346,Weather,19,L4346
EXT-L4347,Normal,1,L4347
EXT-L4348,Weather,12,L4348
EXT-L4349,Normal,26,L4349
EXT-L4350,Normal,16,L4350
EXT-L4351,Normal,10,L4351
EXT-L4352,Normal,6,L4352
EXT-L4353,Weather,4,L4353
EXT-L4354,Normal,6,L4354
EXT-L4355,Normal,9,L4355
EXT-L4356,Normal,2,L4356
EXT-L4357,Weather,11,L4357
EXT-L4358,Weather,13,L4358
EXT-L4359,Normal,11,L4359
EXT-L4360,Normal,20,L4360
EXT-L4361,Normal,10,L4361
EXT-L4362,Weather,9,L4362
EXT-L4363,Normal,5,L4363
EXT-L4364,Weather,7,L4364
EXT-L4365,Normal,16,L4365
EXT-L4366,Normal,4,L4366
EXT-L4367,Normal,14,L4367
EXT-L4368,Weather,10,L4368
EXT-L4369,Normal,8,L4369
EXT-L4370,Weather,8,L4370
EXT-L4371,Weather,14,L4371
EXT-L4372,Normal,9,L4372
EXT-L4373,Weather,5,L4373
EXT-L4374,Weather,9,L4374
EXT-L4375,Normal,13,L4375
EXT-L4376,Normal,12,L4376
EXT-L4377,Normal,8,L4377
EXT-L4378,Weather,18,L4378
EXT-L4379,Normal,6,L4379
EXT-L4380,Weather,9,L4380
EXT-L4381,Normal,2,L4381
EXT-L4382,Normal,21,L4382
EXT-L4383,Weather,11,L4383
EXT-L4384,Weather,11,L4384
EXT-L4385,Normal,9,L4385
EXT-L4386,Weather,11,L4386
EXT-L4387,Weather,12,L4387
EXT-L4388,Weather,14,L4388
EXT-L4389,Normal,8,L4389
EXT-L4390,Weather,7,L4390
EXT-L4391,Weather,8,L4391
EXT-L4392,Weather,11,L4392
EXT-L4393,Normal,12,L4393
EXT-L4394,Normal,10,L4394
EXT-L4395,Weather,13,L4395
EXT-L4396,Normal,6,L4396
EXT-L4397,Weather,10,L4397
EXT-L4398,Weather,12,L4398
EXT-L4399,Normal,16,L4399
EXT-L4400,Normal,8,L4400
EXT-L4401,Normal,7,L4401
EXT-L4402,Weather,14,L4402
EXT-L4403,Weather,13,L4403
EXT-L4404,Normal,13,L4404
EXT-L4405,Normal,13,L4405
EXT-L4406,Normal,11,L4406
EXT-L4407,Normal,11,L4407
EXT-L4408,Normal,12,L4408
EXT-L4409,Normal,7,L4409
EXT-L4410,Weather,5,L4410
EXT-L4411,Weather,10,L4411
EXT-L4412,Weather,7,L4412
EXT-L4413,Normal,2,L4413
EXT-L4414,Weather,7,L4414
EXT-L4415,Normal,4,L4415
EXT-L4416,Weather,10,L4416
EXT-L4417,Weather,13,L4417
EXT-L4418,Normal,6,L4418
EXT-L4419,Normal,10,L4419
EXT-L4420,Weather,9,L4420
EXT-L4421,Weather,15,L4421
EXT-L4422,Weather,9,L4422
EXT-L4423,Weather,11,L4423
EXT-L4424,Weather,12,L4424
EXT-L4425,Weather,11,L4425
EXT-L4426,Weather,8,L4426
EXT-L4427,Weather,7,L4427
EXT-L4428,Normal,10,L4428
EXT-L4429,Weather,19,L4429
EXT-L4430,Normal,2,L4430
EXT-L4431,Weather,9,L4431
EXT-L4432,Weather,13,L4432
EXT-L4433,Normal,5,L4433
EXT-L4434,Weather,8,L4434
EXT-L4435,Weather,7,L4435
EXT-L4436,Weather,11,L4436
EXT-L4437,Weather,12,L4437
EXT-L4438,Weather,16,L4438
EXT-L4439,Weather,9,L4439
EXT-L4440,Weather,10,L4440
EXT-L4441,Normal,10,L4441
EXT-L4442,Weather,9,L4442
EXT-L4443,Weather,9,L4443
EXT-L4444,Weather,5,L4444
EXT-L4445,Normal,15,L4445
EXT-L4446,Normal,11,L4446
EXT-L4447,Normal,12,L4447
EXT-L4448,Normal,9,L4448
EXT-L4449,Normal,8,L4449
EXT-L4450,Normal,2,L4450
EXT-L4451,Normal,8,L4451
EXT-L4452,Weather,4,L4452
EXT-L4453,Normal,9,L4453
EXT-L4454,Weather,13,L4454
EXT-L4455,Normal,10,L4455
EXT-L4456,Weather,11,L4456
EXT-L4457,Weather,19,L4457
EXT-L4458,Normal,14,L4458
EXT-L4459,Weather,9,L4459
EXT-L4460,Weather,12,L4460
EXT-L4461,Normal,13,L4461
EXT-L4462,Normal,2,L4462
EXT-L4463,Normal,20,L4463
EXT-L4464,Normal,11,L4464
EXT-L4465,Normal,10,L4465
EXT-L4466,Weather,5,L4466
EXT-L4467,Weather,13,L4467
EXT-L4468,Normal,12,L4468
EXT-L4469,Weather,10,L4469
EXT-L4470,Normal,2,L4470
EXT-L4471,Normal,5,L4471
EXT-L4472,Normal,2,L4472
EXT-L4473,Weather,8,L4473
EXT-L4474,Normal,6,L4474
EXT-L4475,Normal,10,L4475
EXT-L4476,Normal,11,L4476
EXT-L4477,Weather,11,L4477
EXT-L4478,Weather,10,L4478
EXT-L4479,Normal,9,L4479
EXT-L4480,Normal,8,L4480
EXT-L4481,Normal,11,L4481
EXT-L4482,Weather,11,L4482
EXT-L4483,Weather,11,L4483
EXT-L4484,Weather,17,L4484
EXT-L4485,Weather,6,L4485
EXT-L4486,Weather,12,L4486
EXT-L4487,Weather,11,L4487
EXT-L4488,Weather,15,L4488
EXT-L4489,Weather,13,L4489
EXT-L4490,Normal,10,L4490
EXT-L4491,Weather,9,L4491
EXT-L4492,Weather,10,L4492
EXT-L4493,Weather,13,L4493
EXT-L4494,Weather,9,L4494
EXT-L4495,Normal,18,L4495
EXT-L4496,Weather,27,L4496
EXT-L4497,Normal,10,L4497
EXT-L4498,Normal,21,L4498
EXT-L4499,Normal,32,L4499
EXT-L4500,Normal,8,L4500
EXT-L4501,Weather,5,L4501
EXT-L4502,Normal,15,L4502
EXT-L4503,Weather,10,L4503
EXT-L4504,Normal,9,L4504
EXT-L4505,Normal,11,L4505
EXT-L4506,Normal,18,L4506
EXT-L4507,Normal,2,L4507
EXT-L4508,Weather,10,L4508
EXT-L4509,Normal,15,L4509
EXT-L4510,Normal,11,L4510
EXT-L4511,Normal,13,L4511
EXT-L4512,Normal,12,L4512
EXT-L4513,Weather,11,L4513
EXT-L4514,Weather,9,L4514
EXT-L4515,Weather,9,L4515
EXT-L4516,Normal,14,L4516
EXT-L4517,Weather,12,L4517
EXT-L4518,Normal,8,L4518
EXT-L4519,Weather,2,L4519
EXT-L4520,Normal,2,L4520
EXT-L4521,Normal,1,L4521
EXT-L4522,Normal,6,L4522
EXT-L4523,Normal,5,L4523
EXT-L4524,Normal,16,L4524
EXT-L4525,Normal,9,L4525
EXT-L4526,Normal,11,L4526
EXT-L4527,Weather,14,L4527
EXT-L4528,Normal,17,L4528
EXT-L4529,Weather,12,L4529
EXT-L4530,Normal,11,L4530
EXT-L4531,Normal,11,L4531
EXT-L4532,Normal,7,L4532
EXT-L4533,Normal,18,L4533
EXT-L4534,Normal,6,L4534
EXT-L4535,Normal,10,L4535
EXT-L4536,Normal,7,L4536
EXT-L4537,Weather,11,L4537
EXT-L4538,Normal,8,L4538
EXT-L4539,Weather,2,L4539
EXT-L4540,Normal,8,L4540
EXT-L4541,Normal,8,L4541
EXT-L4542,Normal,12,L4542
EXT-L4543,Normal,12,L4543
EXT-L4544,Normal,30,L4544
EXT-L4545,Weather,15,L4545
EXT-L4546,Normal,16,L4546
EXT-L4547,Normal,13,L4547
EXT-L4548,Weather,6,L4548
EXT-L4549,Normal,11,L4549
EXT-L4550,Normal,2,L4550
EXT-L4551,Normal,13,L4551
EXT-L4552,Weather,11,L4552
EXT-L4553,Weather,12,L4553
EXT-L4554,Weather,11,L4554
EXT-L4555,Normal,17,L4555
EXT-L4556,Normal,8,L4556
EXT-L4557,Normal,12,L4557
EXT-L4558,Normal,12,L4558
EXT-L4559,Weather,12,L4559
EXT-L4560,Normal,9,L4560
EXT-L4561,Normal,5,L4561
EXT-L4562,Normal,9,L4562
EXT-L4563,Normal,8,L4563
EXT-L4564,Weather,9,L4564
EXT-L4565,Weather,15,L4565
EXT-L4566,Weather,11,L4566
EXT-L4567,Normal,14,L4567
EXT-L4568,Weather,8,L4568
EXT-L4569,Normal,18,L4569
EXT-L4570,Normal,8,L4570
EXT-L4571,Normal,7,L4571
EXT-L4572,Normal,2,L4572
EXT-L4573,Weather,10,L4573
EXT-L4574,Weather,11,L4574
EXT-L4575,Weather,11,L4575
EXT-L4576,Normal,17,L4576
EXT-L4577,Normal,12,L4577
EXT-L4578,Weather,9,L4578
EXT-L4579,Normal,3,L4579
EXT-L4580,Normal,9,L4580
EXT-L4581,Weather,10,L4581
EXT-L4582,Weather,13,L4582
EXT-L4583,Weather,11,L4583
EXT-L4584,Normal,5,L4584
EXT-L4585,Weather,12,L4585
EXT-L4586,Weather,11,L4586
EXT-L4587,Weather,14,L4587
EXT-L4588,Weather,11,L4588
EXT-L4589,Weather,13,L4589
EXT-L4590,Weather,11,L4590
EXT-L4591,Weather,9,L4591
EXT-L4592,Weather,12,L4592
EXT-L4593,Normal,9,L4593
EXT-L4594,Weather,13,L4594
EXT-L4595,Normal,18,L4595
EXT-L4596,Normal,8,L4596
EXT-L4597,Normal,12,L4597
EXT-L4598,Normal,6,L4598
EXT-L4599,Normal,5,L4599
EXT-L4600,Normal,2,L4600
EXT-L4601,Normal,8,L4601
EXT-L4602,Normal,7,L4602
EXT-L4603,Normal,8,L4603
EXT-L4604,Normal,8,L4604
EXT-L4605,Normal,11,L4605
EXT-L4606,Normal,11,L4606
EXT-L4607,Normal,9,L4607
EXT-L4608,Normal,8,L4608
EXT-L4609,Normal,10,L4609
EXT-L4610,Normal,9,L4610
EXT-L4611,Weather,14,L4611
EXT-L4612,Weather,10,L4612
EXT-L4613,Weather,11,L4613
EXT-L4614,Weather,7,L4614
EXT-L4615,Normal,16,L4615
EXT-L4616,Weather,10,L4616
EXT-L4617,Weather,11,L4617
EXT-L4618,Weather,14,L4618
EXT-L4619,Normal,14,L4619
EXT-L4620,Weather,13,L4620
EXT-L4621,Weather,5,L4621
EXT-L4622,Weather,8,L4622
EXT-L4623,Normal,8,L4623
EXT-L4624,Normal,9,L4624
EXT-L4625,Weather,5,L4625
EXT-L4626,Weather,15,L4626
EXT-L4627,Weather,10,L4627
EXT-L4628,Weather,13,L4628
EXT-L4629,Weather,9,L4629
EXT-L4630,Weather,15,L4630
EXT-L4631,Weather,12,L4631
EXT-L4632,Weather,13,L4632
EXT-L4633,Normal,9,L4633
EXT-L4634,Normal,14,L4634
EXT-L4635,Normal,12,L4635
EXT-L4636,Weather,2,L4636
EXT-L4637,Weather,5,L4637
EXT-L4638,Normal,9,L4638
EXT-L4639,Normal,13,L4639
EXT-L4640,Weather,11,L4640
EXT-L4641,Normal,12,L4641
EXT-L4642,Weather,12,L4642
EXT-L4643,Weather,14,L4643
EXT-L4644,Normal,11,L4644
EXT-L4645,Weather,9,L4645
EXT-L4646,Weather,9,L4646
EXT-L4647,Normal,16,L4647
EXT-L4648,Weather,9,L4648
EXT-L4649,Weather,8,L4649
EXT-L4650,Weather,12,L4650
EXT-L4651,Normal,11,L4651
EXT-L4652,Weather,10,L4652
EXT-L4653,Weather,12,L4653
EXT-L4654,Normal,3,L4654
EXT-L4655,Normal,2,L4655
EXT-L4656,Weather,9,L4656
EXT-L4657,Normal,8,L4657
EXT-L4658,Weather,14,L4658
EXT-L4659,Normal,6,L4659
EXT-L4660,Normal,13,L4660
EXT-L4661,Normal,10,L4661
EXT-L4662,Normal,6,L4662
EXT-L4663,Normal,5,L4663
EXT-L4664,Normal,5,L4664
EXT-L4665,Weather,13,L4665
EXT-L4666,Normal,6,L4666
EXT-L4667,Weather,14,L4667
EXT-L4668,Normal,9,L4668
EXT-L4669,Normal,8,L4669
EXT-L4670,Normal,13,L4670
EXT-L4671,Normal,11,L4671
EXT-L4672,Weather,9,L4672
EXT-L4673,Weather,7,L4673
EXT-L4674,Normal,6,L4674
EXT-L4675,Weather,10,L4675
EXT-L4676,Weather,9,L4676
EXT-L4677,Normal,10,L4677
EXT-L4678,Normal,6,L4678
EXT-L4679,Normal,8,L4679
EXT-L4680,Normal,13,L4680
EXT-L4681,Weather,9,L4681
EXT-L4682,Weather,15,L4682
EXT-L4683,Normal,16,L4683
EXT-L4684,Weather,13,L4684
EXT-L4685,Normal,2,L4685
EXT-L4686,Normal,2,L4686
EXT-L4687,Normal,8,L4687
EXT-L4688,Normal,8,L4688
EXT-L4689,Weather,3,L4689
EXT-L4690,Normal,19,L4690
EXT-L4691,Weather,9,L4691
EXT-L4692,Normal,14,L4692
EXT-L4693,Normal,10,L4693
EXT-L4694,Weather,11,L4694
EXT-L4695,Weather,11,L4695
EXT-L4696,Weather,10,L4696
EXT-L4697,Weather,5,L4697
EXT-L4698,Weather,11,L4698
EXT-L4699,Weather,14,L4699
EXT-L4700,Weather,14,L4700
EXT-L4701,Weather,12,L4701
EXT-L4702,Weather,12,L4702
EXT-L4703,Weather,10,L4703
EXT-L4704,Weather,9,L4704
EXT-L4705,Weather,9,L4705
EXT-L4706,Weather,11,L4706
EXT-L4707,Weather,12,L4707
EXT-L4708,Normal,9,L4708
EXT-L4709,Normal,11,L4709
EXT-L4710,Weather,12,L4710
EXT-L4711,Normal,15,L4711
EXT-L4712,Normal,1,L4712
EXT-L4713,Normal,15,L4713
EXT-L4714,Normal,7,L4714
EXT-L4715,Normal,12,L4715
EXT-L4716,Normal,2,L4716
EXT-L4717,Normal,24,L4717
EXT-L4718,Weather,11,L4718
EXT-L4719,Normal,10,L4719
EXT-L4720,Normal,11,L4720
EXT-L4721,Weather,19,L4721
EXT-L4722,Normal,12,L4722
EXT-L4723,Weather,13,L4723
EXT-L4724,Normal,11,L4724
EXT-L4725,Normal,10,L4725
EXT-L4726,Normal,2,L4726
EXT-L4727,Weather,16,L4727
EXT-L4728,Normal,17,L4728
EXT-L4729,Normal,8,L4729
EXT-L4730,Weather,10,L4730
EXT-L4731,Normal,12,L4731
EXT-L4732,Weather,10,L4732
EXT-L4733,Weather,14,L4733
EXT-L4734,Normal,13,L4734
EXT-L4735,Normal,13,L4735
EXT-L4736,Weather,9,L4736
EXT-L4737,Weather,9,L4737
EXT-L4738,Normal,7,L4738
EXT-L4739,Normal,22,L4739
EXT-L4740,Normal,7,L4740
EXT-L4741,Weather,11,L4741
EXT-L4742,Normal,12,L4742
EXT-L4743,Normal,23,L4743
EXT-L4744,Weather,11,L4744
EXT-L4745,Normal,3,L4745
EXT-L4746,Normal,25,L4746
EXT-L4747,Normal,7,L4747
EXT-L4748,Normal,2,L4748
EXT-L4749,Normal,15,L4749
EXT-L4750,Weather,13,L4750
EXT-L4751,Weather,10,L4751
EXT-L4752,Weather,13,L4752
EXT-L4753,Normal,13,L4753
EXT-L4754,Weather,12,L4754
EXT-L4755,Normal,11,L4755
EXT-L4756,Normal,13,L4756
EXT-L4757,Weather,11,L4757
EXT-L4758,Weather,10,L4758
EXT-L4759,Normal,11,L4759
EXT-L4760,Weather,8,L4760
EXT-L4761,Weather,15,L4761
EXT-L4762,Weather,7,L4762
EXT-L4763,Normal,6,L4763
EXT-L4764,Normal,11,L4764
EXT-L4765,Normal,2,L4765
EXT-L4766,Normal,8,L4766
EXT-L4767,Normal,2,L4767
EXT-L4768,Normal,9,L4768
EXT-L4769,Normal,8,L4769
EXT-L4770,Weather,2,L4770
EXT-L4771,Normal,21,L4771
EXT-L4772,Normal,24,L4772
EXT-L4773,Normal,19,L4773
EXT-L4774,Normal,13,L4774
EXT-L4775,Weather,7,L4775
EXT-L4776,Normal,10,L4776
EXT-L4777,Weather,12,L4777
EXT-L4778,Weather,14,L4778
EXT-L4779,Normal,10,L4779
EXT-L4780,Normal,21,L4780
EXT-L4781,Normal,2,L4781
EXT-L4782,Normal,22,L4782
EXT-L4783,Weather,7,L4783
EXT-L4784,Weather,10,L4784
EXT-L4785,Normal,11,L4785
EXT-L4786,Normal,18,L4786
EXT-L4787,Normal,15,L4787
EXT-L4788,Weather,14,L4788
EXT-L4789,Weather,7,L4789
EXT-L4790,Weather,16,L4790
EXT-L4791,Weather,14,L4791
EXT-L4792,Normal,6,L4792
EXT-L4793,Normal,13,L4793
EXT-L4794,Weather,10,L4794
EXT-L4795,Weather,8,L4795
EXT-L4796,Weather,9,L4796
EXT-L4797,Normal,8,L4797
EXT-L4798,Weather,8,L4798
EXT-L4799,Weather,11,L4799
EXT-L4800,Weather,9,L4800
EXT-L4801,Weather,10,L4801
EXT-L4802,Normal,13,L4802
EXT-L4803,Weather,8,L4803
EXT-L4804,Normal,9,L4804
EXT-L4805,Normal,5,L4805
EXT-L4806,Normal,7,L4806
EXT-L4807,Normal,12,L4807
EXT-L4808,Normal,8,L4808
EXT-L4809,Normal,4,L4809
EXT-L4810,Normal,7,L4810
EXT-L4811,Normal,5,L4811
EXT-L4812,Weather,12,L4812
EXT-L4813,Normal,7,L4813
EXT-L4814,Weather,10,L4814
EXT-L4815,Weather,9,L4815
EXT-L4816,Weather,12,L4816
EXT-L4817,Normal,13,L4817
EXT-L4818,Weather,10,L4818
EXT-L4819,Weather,9,L4819
EXT-L4820,Normal,9,L4820
EXT-L4821,Weather,9,L4821
EXT-L4822,Normal,18,L4822
EXT-L4823,Weather,12,L4823
EXT-L4824,Weather,12,L4824
EXT-L4825,Weather,10,L4825
EXT-L4826,Weather,13,L4826
EXT-L4827,Normal,10,L4827
EXT-L4828,Weather,9,L4828
EXT-L4829,Weather,12,L4829
EXT-L4830,Weather,15,L4830
EXT-L4831,Weather,11,L4831
EXT-L4832,Weather,12,L4832
EXT-L4833,Weather,18,L4833
EXT-L4834,Normal,15,L4834
EXT-L4835,Normal,16,L4835
EXT-L4836,Normal,9,L4836
EXT-L4837,Weather,14,L4837
EXT-L4838,Weather,6,L4838
EXT-L4839,Normal,11,L4839
EXT-L4840,Normal,10,L4840
EXT-L4841,Normal,14,L4841
EXT-L4842,Weather,10,L4842
EXT-L4843,Normal,14,L4843
EXT-L4844,Normal,15,L4844
EXT-L4845,Weather,9,L4845
EXT-L4846,Weather,11,L4846
EXT-L4847,Weather,12,L4847
EXT-L4848,Normal,12,L4848
EXT-L4849,Normal,18,L4849
EXT-L4850,Weather,18,L4850
EXT-L4851,Weather,11,L4851
EXT-L4852,Normal,8,L4852
EXT-L4853,Normal,2,L4853
EXT-L4854,Weather,5,L4854
EXT-L4855,Weather,8,L4855
EXT-L4856,Weather,14,L4856
EXT-L4857,Normal,11,L4857
EXT-L4858,Weather,12,L4858
EXT-L4859,Weather,10,L4859
EXT-L4860,Weather,16,L4860
EXT-L4861,Normal,13,L4861
EXT-L4862,Normal,2,L4862
EXT-L4863,Weather,11,L4863
EXT-L4864,Weather,12,L4864
EXT-L4865,Weather,9,L4865
EXT-L4866,Weather,11,L4866
EXT-L4867,Weather,18,L4867
EXT-L4868,Normal,11,L4868
EXT-L4869,Normal,8,L4869
EXT-L4870,Weather,12,L4870
EXT-L4871,Weather,9,L4871
EXT-L4872,Weather,10,L4872
EXT-L4873,Normal,8,L4873
EXT-L4874,Weather,13,L4874
EXT-L4875,Weather,12,L4875
EXT-L4876,Weather,12,L4876
EXT-L4877,Normal,8,L4877
EXT-L4878,Weather,18,L4878
EXT-L4879,Normal,2,L4879
EXT-L4880,Normal,9,L4880
EXT-L4881,Normal,16,L4881
EXT-L4882,Normal,12,L4882
EXT-L4883,Normal,15,L4883
EXT-L4884,Normal,3,L4884
EXT-L4885,Normal,7,L4885
EXT-L4886,Weather,17,L4886
EXT-L4887,Normal,6,L4887
EXT-L4888,Normal,14,L4888
EXT-L4889,Normal,9,L4889
EXT-L4890,Weather,12,L4890
EXT-L4891,Weather,12,L4891
EXT-L4892,Normal,4,L4892
EXT-L4893,Normal,12,L4893
EXT-L4894,Normal,13,L4894
EXT-L4895,Normal,1,L4895
EXT-L4896,Normal,10,L4896
EXT-L4897,Normal,9,L4897
EXT-L4898,Weather,9,L4898
EXT-L4899,Weather,17,L4899
EXT-L4900,Weather,10,L4900
EXT-L4901,Weather,13,L4901
EXT-L4902,Weather,13,L4902
EXT-L4903,Normal,4,L4903
EXT-L4904,Weather,8,L4904
EXT-L4905,Weather,10,L4905
EXT-L4906,Weather,17,L4906
EXT-L4907,Weather,13,L4907
EXT-L4908,Weather,10,L4908
EXT-L4909,Weather,16,L4909
EXT-L4910,Normal,16,L4910
EXT-L4911,Weather,13,L4911
EXT-L4912,Normal,11,L4912
EXT-L4913,Weather,10,L4913
EXT-L4914,Weather,13,L4914
EXT-L4915,Weather,12,L4915
EXT-L4916,Weather,13,L4916
EXT-L4917,Normal,9,L4917
EXT-L4918,Normal,13,L4918
EXT-L4919,Weather,9,L4919
EXT-L4920,Weather,12,L4920
EXT-L4921,Normal,9,L4921
EXT-L4922,Weather,2,L4922
EXT-L4923,Normal,6,L4923
EXT-L4924,Normal,2,L4924
EXT-L4925,Normal,2,L4925
EXT-L4926,Normal,9,L4926
EXT-L4927,Normal,15,L4927
EXT-L4928,Weather,38,L4928
EXT-L4929,Weather,9,L4929
EXT-L4930,Normal,14,L4930
EXT-L4931,Normal,5,L4931
EXT-L4932,Normal,2,L4932
EXT-L4933,Normal,16,L4933
EXT-L4934,Normal,8,L4934
EXT-L4935,Weather,7,L4935
EXT-L4936,Weather,11,L4936
EXT-L4937,Weather,10,L4937
EXT-L4938,Weather,13,L4938
EXT-L4939,Weather,10,L4939
EXT-L4940,Normal,12,L4940
EXT-L4941,Weather,9,L4941
EXT-L4942,Normal,15,L4942
EXT-L4943,Normal,4,L4943
EXT-L4944,Weather,14,L4944
EXT-L4945,Normal,10,L4945
EXT-L4946,Weather,9,L4946
EXT-L4947,Weather,11,L4947
EXT-L4948,Normal,18,L4948
EXT-L4949,Normal,9,L4949
EXT-L4950,Weather,7,L4950
EXT-L4951,Normal,7,L4951
EXT-L4952,Normal,2,L4952
EXT-L4953,Normal,6,L4953
EXT-L4954,Weather,11,L4954
EXT-L4955,Normal,2,L4955
EXT-L4956,Normal,18,L4956
EXT-L4957,Normal,8,L4957
EXT-L4958,Normal,12,L4958
EXT-L4959,Normal,10,L4959
EXT-L4960,Normal,2,L4960
EXT-L4961,Normal,2,L4961
EXT-L4962,Weather,11,L4962
EXT-L4963,Normal,10,L4963
EXT-L4964,Normal,7,L4964
EXT-L4965,Normal,8,L4965
EXT-L4966,Weather,11,L4966
EXT-L4967,Weather,11,L4967
EXT-L4968,Normal,12,L4968
EXT-L4969,Weather,13,L4969
EXT-L4970,Normal,3,L4970
EXT-L4971,Weather,13,L4971
EXT-L4972,Normal,9,L4972
EXT-L4973,Normal,3,L4973
EXT-L4974,Weather,12,L4974
EXT-L4975,Normal,5,L4975
EXT-L4976,Normal,14,L4976
EXT-L4977,Normal,10,L4977
EXT-L4978,Weather,8,L4978
EXT-L4979,Weather,8,L4979
EXT-L4980,Normal,15,L4980
EXT-L4981,Normal,11,L4981
EXT-L4982,Normal,2,L4982
EXT-L4983,Normal,12,L4983
EXT-L4984,Normal,9,L4984
EXT-L4985,Weather,4,L4985
EXT-L4986,Normal,5,L4986
EXT-L4987,Normal,9,L4987
EXT-L4988,Normal,11,L4988
EXT-L4989,Normal,8,L4989
EXT-L4990,Normal,7,L4990
EXT-L4991,Normal,9,L4991
EXT-L4992,Weather,5,L4992
EXT-L4993,Weather,11,L4993
EXT-L4994,Normal,3,L4994
EXT-L4995,Normal,9,L4995
EXT-L4996,Normal,21,L4996
EXT-L4997,Normal,17,L4997
EXT-L4998,Normal,10,L4998
EXT-L4999,Normal,8,L4999
EXT-L5000,Weather,8,L5000
EXT-L5001,Normal,6,L5001
EXT-L5002,Weather,10,L5002
EXT-L5003,Normal,11,L5003
EXT-L5004,Weather,9,L5004
EXT-L5005,Weather,10,L5005
EXT-L5006,Normal,17,L5006
EXT-L5007,Normal,5,L5007
EXT-L5008,Normal,8,L5008
EXT-L5009,Normal,7,L5009
EXT-L5010,Weather,18,L5010
EXT-L5011,Normal,9,L5011
EXT-L5012,Normal,7,L5012
EXT-L5013,Normal,11,L5013
EXT-L5014,Normal,17,L5014
EXT-L5015,Weather,9,L5015
EXT-L5016,Normal,10,L5016
EXT-L5017,Normal,7,L5017
EXT-L5018,Weather,9,L5018
EXT-L5019,Weather,13,L5019
EXT-L5020,Weather,11,L5020
EXT-L5021,Normal,2,L5021
EXT-L5022,Normal,13,L5022
EXT-L5023,Normal,10,L5023
EXT-L5024,Weather,7,L5024
EXT-L5025,Weather,6,L5025
EXT-L5026,Weather,15,L5026
EXT-L5027,Normal,5,L5027
EXT-L5028,Weather,12,L5028
EXT-L5029,Normal,10,L5029
EXT-L5030,Weather,5,L5030
EXT-L5031,Weather,10,L5031
EXT-L5032,Weather,22,L5032
EXT-L5033,Weather,10,L5033
EXT-L5034,Weather,12,L5034
EXT-L5035,Weather,12,L5035
EXT-L5036,Normal,16,L5036
EXT-L5037,Normal,9,L5037
EXT-L5038,Weather,10,L5038
EXT-L5039,Normal,4,L5039
EXT-L5040,Normal,10,L5040
EXT-L5041,Normal,1,L5041
EXT-L5042,Normal,10,L5042
EXT-L5043,Normal,2,L5043
EXT-L5044,Weather,11,L5044
EXT-L5045,Weather,3,L5045
EXT-L5046,Weather,14,L5046
EXT-L5047,Weather,19,L5047
EXT-L5048,Weather,11,L5048
EXT-L5049,Weather,14,L5049
EXT-L5050,Normal,13,L5050
EXT-L5051,Normal,9,L5051
EXT-L5052,Normal,12,L5052
EXT-L5053,Weather,6,L5053
EXT-L5054,Normal,16,L5054
EXT-L5055,Weather,9,L5055
EXT-L5056,Normal,10,L5056
EXT-L5057,Normal,11,L5057
EXT-L5058,Normal,12,L5058
EXT-L5059,Normal,13,L5059
EXT-L5060,Normal,19,L5060
EXT-L5061,Weather,12,L5061
EXT-L5062,Normal,14,L5062
EXT-L5063,Normal,5,L5063
EXT-L5064,Normal,2,L5064
EXT-L5065,Normal,14,L5065
EXT-L5066,Weather,11,L5066
EXT-L5067,Weather,10,L5067
EXT-L5068,Normal,3,L5068
EXT-L5069,Normal,8,L5069
EXT-L5070,Normal,5,L5070
EXT-L5071,Weather,15,L5071
EXT-L5072,Normal,11,L5072
EXT-L5073,Weather,3,L5073
EXT-L5074,Weather,10,L5074
EXT-L5075,Normal,8,L5075
EXT-L5076,Normal,18,L5076
EXT-L5077,Normal,12,L5077
EXT-L5078,Normal,7,L5078
EXT-L5079,Weather,13,L5079
EXT-L5080,Weather,9,L5080
EXT-L5081,Weather,11,L5081
EXT-L5082,Weather,13,L5082
EXT-L5083,Weather,13,L5083
EXT-L5084,Normal,11,L5084
EXT-L5085,Normal,12,L5085
EXT-L5086,Normal,10,L5086
EXT-L5087,Weather,12,L5087
EXT-L5088,Normal,15,L5088
EXT-L5089,Weather,14,L5089
EXT-L5090,Normal,10,L5090
EXT-L5091,Weather,15,L5091
EXT-L5092,Normal,18,L5092
EXT-L5093,Normal,11,L5093
EXT-L5094,Weather,13,L5094
EXT-L5095,Normal,11,L5095
EXT-L5096,Weather,10,L5096
EXT-L5097,Normal,11,L5097
EXT-L5098,Normal,9,L5098
EXT-L5099,Normal,1,L5099
EXT-L5100,Normal,2,L5100
EXT-L5101,Normal,14,L5101
EXT-L5102,Normal,9,L5102
EXT-L5103,Weather,10,L5103
EXT-L5104,Normal,2,L5104
EXT-L5105,Normal,18,L5105
EXT-L5106,Normal,12,L5106
EXT-L5107,Weather,9,L5107
EXT-L5108,Weather,7,L5108
EXT-L5109,Weather,11,L5109
EXT-L5110,Normal,16,L5110
EXT-L5111,Normal,11,L5111
EXT-L5112,Weather,9,L5112
EXT-L5113,Weather,8,L5113
EXT-L5114,Normal,13,L5114
